	ACCN	#of members	final_clus_rep
97144	YP_010090910.1	280	YP_010090910.1
3119	NP_075278.1	279	NP_075278.1
108422	YP_010665951.1	279	1N7Z_A
6278	NP_861691.1	279	NP_861691.1
63978	YP_009482335.1	277	YP_009482335.1
849	6YFS_AA	277	6YFS_AA
92024	YP_009964507.1	277	YP_009964507.1
22969	YP_006906377.1	275	YP_006906377.1
92383	YP_009997088.1	275	YP_009997088.1
10033	YP_001491621.1	275	YP_001491621.1
5548	NP_817315.1	274	6IAT_E
62578	YP_009430300.1	272	7T17_A
38400	YP_009018943.1	271	YP_009018943.1
11823	YP_001956729.1	271	1JUV_A
6391	NP_891658.1	270	NP_891658.1
94867	YP_010063555.1	270	YP_010063555.1
832	6YF7_AA	270	6YF7_AA
10031	YP_001491587.1	270	YP_001491587.1
35937	YP_009004202.1	269	6YT5_G
6627	NP_932519.1	269	5VF3_a
94717	YP_010060839.1	269	YP_010060839.1
36380	YP_009006309.1	267	YP_009006309.1
54773	YP_009259540.1	266	5WTW_A
36928	YP_009010019.1	264	YP_009010019.1
50385	YP_009209414.1	263	YP_009209414.1
1569	NP_043418.1	263	1R9W_A
86675	YP_009848216.1	262	YP_009848216.1
342	4AMQ_A	262	4AMQ_A
98783	YP_010107230.1	262	YP_010107230.1
46518	YP_009168973.1	261	5IW9_A
31964	YP_008126108.1	259	YP_008126108.1
34408	YP_008719828.1	258	2INY_A
2316	NP_048787.1	257	1M4X_A
14064	YP_003127318.1	256	YP_003127318.1
105360	YP_010650612.1	256	YP_010650612.1
96907	YP_010089492.1	256	3FOA_B
105186	YP_010649676.1	252	YP_010649676.1
0	1A34_A	252	1A34_A
116350	YP_355399.1	252	YP_355399.1
28987	YP_007675034.1	251	YP_007675034.1
15051	YP_003734374.1	251	1GPC_A
12143	YP_001994850.1	250	YP_001994850.1
80033	YP_009811808.1	248	2ANV_A
95000	YP_010068866.1	248	YP_010068866.1
1031	7SEJ_B	247	7SEJ_B
55930	YP_009277004.1	246	YP_009277004.1
15270	YP_003858494.1	246	5HX2_A
13732	YP_002922323.1	246	5NXH_A
84164	YP_009836031.1	244	YP_009836031.1
95571	YP_010082081.1	244	YP_010082081.1
10015	YP_001469536.1	244	YP_001469536.1
12804	YP_002242000.1	243	YP_002242000.1
107811	YP_010662966.1	243	YP_010662966.1
93091	YP_010013371.1	239	YP_010013371.1
95493	YP_010081297.1	239	5E7T_B
53950	YP_009226704.1	239	3UPU_A
91793	YP_009955073.1	238	YP_009955073.1
108393	YP_010665862.1	238	1TFR_A
14341	YP_003347584.1	238	YP_003347584.1
6408	NP_891704.1	237	5HX2_F
16281	YP_004009537.1	237	3TXQ_A
94002	YP_010055706.1	237	8E16_A
45156	YP_009153122.1	236	YP_009153122.1
109736	YP_010671238.1	235	YP_010671238.1
571	5TT6_A	235	5TT6_A
53679	YP_009225627.1	234	2WZP_A
1781	NP_046584.1	232	NP_046584.1
48479	YP_009190610.1	231	6DRT_A
16435	YP_004010342.1	229	5WFY_A
644	6CPL_C	227	6CPL_C
93308	YP_010038051.1	227	YP_010038051.1
104974	YP_010649124.1	224	YP_010649124.1
50053	YP_009205616.1	224	YP_009205616.1
20864	YP_005087559.1	224	3CAE_A
45407	YP_009162467.1	224	YP_009162467.1
2443	NP_049750.1	223	7T26_A
56384	YP_009280066.1	223	YP_009280066.1
104683	YP_010648490.1	223	YP_010648490.1
69229	YP_009609744.1	223	YP_009609744.1
108411	YP_010665915.1	222	1S68_A
16271	YP_004009496.1	222	YP_004009496.1
115531	YP_238947.1	222	YP_238947.1
27953	YP_007501188.1	222	1EL6_A
42295	YP_009113106.1	222	YP_009113106.1
84177	YP_009836111.1	221	YP_009836111.1
6406	NP_891700.1	219	NP_891700.1
97929	YP_010100638.1	219	YP_010100638.1
27330	YP_007348825.1	219	1DEK_A
3123	NP_075325.1	219	NP_075325.1
15383	YP_003969124.1	218	YP_003969124.1
40707	YP_009097709.1	218	5IV5_BE
6376	NP_891612.1	217	NP_891612.1
83675	YP_009833439.1	217	YP_009833439.1
79666	YP_009810395.1	217	YP_009810395.1
6749	NP_944133.1	217	4ZWQ_B
95886	YP_010083079.1	216	YP_010083079.1
48904	YP_009195506.1	216	YP_009195506.1
38245	YP_009017592.1	216	1IF0_A
12436	YP_002117666.1	216	YP_002117666.1
56370	YP_009280011.1	216	1OCY_A
16356	YP_004009816.1	215	5IV5_BG
73555	YP_009665997.1	215	6QI5_M
94725	YP_010061184.1	214	YP_010061184.1
112627	YP_010684989.1	214	YP_010684989.1
27173	YP_007238120.1	214	YP_007238120.1
14948	YP_003579920.1	212	YP_003579920.1
48921	YP_009195622.1	211	1G31_A
27189	YP_007346982.1	211	1CN3_F
91951	YP_009963692.1	210	YP_009963692.1
847	6YFQ_AA	210	6YFQ_AA
3514	NP_116435.1	210	6NHJ_A
835	6YFB_AA	210	6YFB_AA
89400	YP_009882210.1	210	YP_009882210.1
97077	YP_010090533.1	210	YP_010090533.1
14971	YP_003580091.1	210	1AAZ_A
26221	YP_007010306.1	208	1C1K_A
6632	NP_932571.1	208	7D7D_K
16371	YP_004009932.1	207	YP_004009932.1
38401	YP_009019083.1	206	YP_009019083.1
32902	YP_008241819.1	204	1LBA_A
72494	YP_009636143.1	204	YP_009636143.1
6974	NP_955613.1	204	1BAI_A
110327	YP_010672664.1	203	YP_010672664.1
64345	YP_009505837.1	203	6KNA_A
15335	YP_003934793.1	202	2FKK_A
87123	YP_009850377.1	201	YP_009850377.1
105323	YP_010650007.1	201	YP_010650007.1
59695	YP_009330034.1	201	1RAJ_A
86083	YP_009845695.1	200	4P9C_A
17094	YP_004300805.1	200	YP_004300805.1
43982	YP_009143090.1	200	YP_009143090.1
93105	YP_010013451.1	200	YP_010013451.1
41419	YP_009101804.1	200	1VAS_A
63617	YP_009465961.1	199	1TUE_B
104658	YP_010648382.1	198	3GQH_A
77822	YP_009801730.1	198	YP_009801730.1
2559	NP_051005.1	197	4QBN_A
20695	YP_005087159.1	197	YP_005087159.1
96948	YP_010089850.1	197	1JR5_A
56321	YP_009279897.1	197	YP_009279897.1
56357	YP_009279976.1	196	YP_009279976.1
96463	YP_010086230.1	196	3LYF_A
97078	YP_010090537.1	196	YP_010090537.1
117834	YP_764323.1	196	YP_764323.1
1112	8DGV_A	195	8DGV_A
116674	YP_424941.1	195	2AJQ_A
77423	YP_009799954.1	194	YP_009799954.1
5412	NP_803227.1	193	NP_803227.1
97397	YP_010093060.1	193	YP_010093060.1
58373	YP_009304223.1	192	YP_009304223.1
48496	YP_009190763.1	192	YP_009190763.1
16584	YP_004061956.1	192	5YVQ_A
1903	NP_046822.1	192	NP_046822.1
27837	YP_007392622.1	191	YP_007392622.1
67835	YP_009600048.1	191	YP_009600048.1
43937	YP_009143014.1	190	YP_009143014.1
111022	YP_010676471.1	190	5O1Q_A
112847	YP_010719985.1	190	YP_010719985.1
56097	YP_009277471.1	190	YP_009277471.1
2416	NP_049415.2	190	NP_049415.2
72580	YP_009638910.1	190	YP_009638910.1
55392	YP_009274398.1	189	YP_009274398.1
12785	YP_002241682.1	189	YP_002241682.1
89613	YP_009883931.1	189	YP_009883931.1
89606	YP_009883908.1	189	YP_009883908.1
15038	YP_003734167.1	188	YP_003734167.1
15277	YP_003858569.1	188	YP_003858569.1
13307	YP_002333524.1	188	7FJ1_0
36259	YP_009005409.1	188	YP_009005409.1
115411	YP_238543.1	188	5LII_P
52960	YP_009222746.1	188	YP_009222746.1
56400	YP_009280123.1	187	1BJA_B
1736	NP_045937.2	187	1U7K_A
95011	YP_010071162.1	187	7UQ2_A
71638	YP_009622290.1	186	YP_009622290.1
33631	YP_008409813.1	186	YP_008409813.1
6630	NP_932560.1	186	2WSH_A
3420	NP_108679.1	185	3CA9_A
97084	YP_010090556.1	185	3U5Z_A
58876	YP_009322136.1	184	YP_009322136.1
115082	YP_214504.1	184	YP_214504.1
33739	YP_008430679.1	184	YP_008430679.1
27954	YP_007501223.1	184	YP_007501223.1
29712	YP_007869830.1	182	YP_007869830.1
84485	YP_009837968.1	182	YP_009837968.1
20520	YP_004957914.1	182	YP_004957914.1
32262	YP_008130349.1	182	YP_008130349.1
91786	YP_009954872.1	181	YP_009954872.1
51861	YP_009218311.1	180	YP_009218311.1
92282	YP_009984732.1	180	YP_009984732.1
91708	YP_009953002.1	180	8EC8_A
833	6YF9_AA	180	6YF9_AA
836	6YFC_AA	180	6YFC_AA
112860	YP_010731542.1	179	YP_010731542.1
10881	YP_001595236.1	179	2HX6_A
113358	YP_010742756.1	179	YP_010742756.1
6096	NP_852498.1	179	NP_852498.1
74209	YP_009777809.1	179	YP_009777809.1
96898	YP_010089362.1	179	7D7D_F
97625	YP_010095153.1	178	YP_010095153.1
93807	YP_010053215.1	178	YP_010053215.1
92049	YP_009965168.1	178	YP_009965168.1
97925	YP_010100406.1	177	YP_010100406.1
70303	YP_009613890.1	176	2MXZ_A
97212	YP_010091869.1	176	YP_010091869.1
63927	YP_009482074.1	176	YP_009482074.1
19509	YP_004934038.1	175	YP_004934038.1
908	7FJ1_E	175	7FJ1_E
15292	YP_003896051.1	175	1QHD_A
78975	YP_009807902.1	175	YP_009807902.1
64334	YP_009505709.1	175	2WST_A
12356	YP_002048660.1	175	6R21_a
114074	YP_068081.1	175	6QPN_A
96560	YP_010086819.1	175	1U0J_A
10758	YP_001522868.1	175	1A0I_A
58409	YP_009304479.1	175	6UEB_A
107030	YP_010659724.1	174	4QNL_A
17102	YP_004300837.1	174	YP_004300837.1
13152	YP_002302230.1	173	7UMS_1
26868	YP_007236953.1	173	YP_007236953.1
75884	YP_009792013.1	172	YP_009792013.1
100625	YP_010246622.1	172	YP_010246622.1
73558	YP_009666021.1	172	YP_009666021.1
66611	YP_009595584.1	171	YP_009595584.1
94709	YP_010060531.1	171	YP_010060531.1
45753	YP_009165182.1	171	YP_009165182.1
97544	YP_010094762.1	170	3U5Z_B
93880	YP_010054420.1	170	YP_010054420.1
6560	NP_899582.1	170	NP_899582.1
15261	YP_003858440.1	170	YP_003858440.1
70384	YP_009614264.1	170	YP_009614264.1
31739	YP_008083730.1	169	4Z92_A
50993	YP_009213745.1	169	YP_009213745.1
111523	YP_010678466.1	169	6R3A_A
89791	YP_009884462.1	169	YP_009884462.1
29719	YP_007869876.1	169	YP_007869876.1
97232	YP_010092025.1	168	YP_010092025.1
36285	YP_009005825.1	168	YP_009005825.1
16411	YP_004010208.1	168	YP_004010208.1
83304	YP_009831810.1	168	YP_009831810.1
93987	YP_010055457.1	168	YP_010055457.1
24500	YP_007003257.1	167	YP_007003257.1
94973	YP_010065016.1	167	YP_010065016.1
117150	YP_655905.1	167	YP_655905.1
5767	NP_818228.1	166	NP_818228.1
50615	YP_009211453.1	165	YP_009211453.1
34339	YP_008532046.1	165	7REJ_A
87112	YP_009850283.1	165	YP_009850283.1
104662	YP_010648410.1	165	4UW8_A
58523	YP_009310096.1	165	YP_009310096.1
14855	YP_003407123.1	164	4L5N_A
18295	YP_004421526.1	164	YP_004421526.1
17247	YP_004301294.1	164	6V8I_AJ
438	4RFU_A	164	4RFU_A
92089	YP_009966290.1	164	YP_009966290.1
148	2L4G_A	163	2L4G_A
5746	NP_818173.1	163	NP_818173.1
55098	YP_009273332.1	163	YP_009273332.1
54969	YP_009272591.1	163	YP_009272591.1
47444	YP_009176906.1	163	7PAB_A
70304	YP_009613892.1	163	YP_009613892.1
66640	YP_009595643.1	162	YP_009595643.1
76116	YP_009793145.1	162	YP_009793145.1
55710	YP_009275834.1	162	YP_009275834.1
17479	YP_004306351.1	162	7EY7_A
116846	YP_529594.1	162	YP_529594.1
68901	YP_009607500.1	162	YP_009607500.1
100829	YP_010297940.1	161	YP_010297940.1
21018	YP_005098432.1	161	7RUM_A
10021	YP_001469566.1	161	YP_001469566.1
86158	YP_009845785.1	161	YP_009845785.1
5161	NP_720325.1	160	3P9A_A
82219	YP_009821024.1	160	YP_009821024.1
146	2L0Z_A	160	2L0Z_A
48480	YP_009190612.1	159	YP_009190612.1
218	2ZTT_B	159	2ZTT_B
84484	YP_009837965.1	159	YP_009837965.1
91076	YP_009910197.1	159	1FOU_A
111433	YP_010677537.1	159	YP_010677537.1
14576	YP_003358893.1	159	YP_003358893.1
97233	YP_010092026.1	159	YP_010092026.1
83779	YP_009834052.1	159	YP_009834052.1
84493	YP_009838048.1	158	YP_009838048.1
91959	YP_009963972.1	158	YP_009963972.1
3120	NP_075280.1	158	NP_075280.1
8009	YP_001285908.1	157	YP_001285908.1
104682	YP_010648485.1	157	YP_010648485.1
48510	YP_009190854.1	156	YP_009190854.1
77369	YP_009799745.1	156	4BML_A
84269	YP_009836685.1	156	YP_009836685.1
6607	NP_932309.1	156	5FN1_A
86532	YP_009847325.1	156	YP_009847325.1
108391	YP_010665857.1	155	6F45_D
91792	YP_009955064.1	155	YP_009955064.1
12783	YP_002241640.1	155	YP_002241640.1
43320	YP_009125208.1	155	YP_009125208.1
93977	YP_010055282.1	155	YP_010055282.1
18506	YP_004508560.1	155	YP_004508560.1
53150	YP_009223101.1	155	3ZQM_A
88186	YP_009856797.1	154	YP_009856797.1
52057	YP_009219634.1	154	YP_009219634.1
67682	YP_009599172.1	153	YP_009599172.1
95937	YP_010083924.1	153	YP_010083924.1
92186	YP_009980594.1	153	YP_009980594.1
51064	YP_009214286.1	153	YP_009214286.1
15303	YP_003908.1	153	YP_003908.1
64838	YP_009508556.1	153	4BAC_A
104091	YP_010582203.1	153	YP_010582203.1
18293	YP_004421523.1	153	YP_004421523.1
100496	YP_010245949.1	153	YP_010245949.1
9807	YP_001468930.1	152	YP_001468930.1
3129	NP_075510.1	152	NP_075510.1
91932	YP_009963648.1	152	YP_009963648.1
4702	NP_619706.1	152	2Y26_A
70945	YP_009618288.1	152	YP_009618288.1
2662	NP_056931.1	152	2LZP_A
91801	YP_009955962.1	151	YP_009955962.1
108348	YP_010665766.1	151	YP_010665766.1
76447	YP_009795815.1	150	1JE5_A
37428	YP_009013212.1	150	YP_009013212.1
151	2LM7_A	150	2LM7_A
91820	YP_009957340.1	150	YP_009957340.1
50670	YP_009211701.1	150	YP_009211701.1
91926	YP_009963631.1	150	YP_009963631.1
107161	YP_010660286.1	149	YP_010660286.1
52073	YP_009219680.1	149	YP_009219680.1
9984	YP_001469242.1	149	YP_001469242.1
43912	YP_009142976.1	149	YP_009142976.1
43323	YP_009125233.1	149	YP_009125233.1
77665	YP_009800899.1	149	YP_009800899.1
5552	NP_817375.1	148	NP_817375.1
15147	YP_003815427.1	148	6EA5_A
5793	NP_818365.1	148	NP_818365.1
88146	YP_009856015.1	148	YP_009856015.1
32778	YP_008241616.1	148	YP_008241616.1
2439	NP_049617.1	148	NP_049617.1
87212	YP_009850730.1	148	YP_009850730.1
94151	YP_010056919.1	147	YP_010056919.1
28665	YP_007673742.1	147	YP_007673742.1
75424	YP_009789176.1	147	YP_009789176.1
115211	YP_224061.1	147	YP_224061.1
12282	YP_002014264.1	147	YP_002014264.1
95471	YP_010080467.1	147	YP_010080467.1
81422	YP_009818297.1	147	YP_009818297.1
75669	YP_009790816.1	147	YP_009790816.1
60709	YP_009344898.1	146	1FL1_A
43187	YP_009124281.1	146	YP_009124281.1
33507	YP_008357312.1	146	YP_008357312.1
38891	YP_009032503.1	146	YP_009032503.1
90010	YP_009887284.1	146	YP_009887284.1
5551	NP_817374.1	145	NP_817374.1
78423	YP_009804577.1	145	5TJT_A
91867	YP_009958792.1	145	YP_009958792.1
65805	YP_009553725.1	145	3C5X_C
89562	YP_009883760.1	145	6L18_A
92422	YP_009997483.1	145	YP_009997483.1
4549	NP_612246.1	145	NP_612246.1
1196	NP_038312.1	145	NP_038312.1
49110	YP_009197167.1	145	YP_009197167.1
17480	YP_004306356.1	144	YP_004306356.1
50658	YP_009211585.1	144	YP_009211585.1
31962	YP_008126093.1	144	YP_008126093.1
88346	YP_009859408.1	144	YP_009859408.1
93585	YP_010051479.1	144	8ECN_A
104076	YP_010582089.1	144	YP_010582089.1
27937	YP_007501056.1	144	YP_007501056.1
91925	YP_009963627.1	144	YP_009963627.1
48493	YP_009190717.1	144	YP_009190717.1
78063	YP_009802389.1	144	5LGM_A
18364	YP_004421643.1	143	YP_004421643.1
2445	NP_049822.1	143	NP_049822.1
38767	YP_009030785.1	143	YP_009030785.1
33590	YP_008409056.1	143	YP_008409056.1
97135	YP_010090828.1	143	YP_010090828.1
69224	YP_009609735.1	143	YP_009609735.1
96520	YP_010086573.1	143	5UKB_A
145	2L0J_A	143	2L0J_A
68771	YP_009605027.1	142	YP_009605027.1
24614	YP_007003405.1	142	5LI2_A
53197	YP_009223510.1	142	YP_009223510.1
116904	YP_529840.1	142	2R1J_L
33587	YP_008409048.1	142	YP_008409048.1
57013	YP_009289492.1	141	YP_009289492.1
13704	YP_002898979.1	141	YP_002898979.1
49954	YP_009204117.1	141	YP_009204117.1
48649	YP_009193596.1	141	YP_009193596.1
6368	NP_891578.1	141	NP_891578.1
91917	YP_009962719.1	141	YP_009962719.1
97134	YP_010090821.1	141	YP_010090821.1
5677	NP_817913.1	140	NP_817913.1
105329	YP_010650085.1	140	YP_010650085.1
13399	YP_002456069.1	140	YP_002456069.1
110707	YP_010675470.1	140	YP_010675470.1
59138	YP_009324394.1	140	YP_009324394.1
1456	NP_042322.1	140	4KTW_A
59140	YP_009324396.1	140	YP_009324396.1
826	6X6O_A	139	6X6O_A
15356	YP_003934964.1	139	YP_003934964.1
53900	YP_009226642.1	139	2WKC_A
4914	NP_663726.1	139	NP_663726.1
47590	YP_009177608.1	139	3ZED_D
1451	NP_042305.1	139	2QUD_A
1924	NP_047168.1	138	NP_047168.1
2548	NP_050980.1	138	7SFS_A
4733	NP_620053.1	138	4ILD_A
93134	YP_010013537.1	138	YP_010013537.1
31735	YP_008083104.1	138	YP_008083104.1
54513	YP_009250045.1	138	YP_009250045.1
68352	YP_009602680.1	137	YP_009602680.1
48456	YP_009190270.1	137	YP_009190270.1
67934	YP_009600182.1	137	YP_009600182.1
72191	YP_009624499.1	137	YP_009624499.1
88764	YP_009874992.1	137	2X53_S
22895	YP_006906038.1	137	YP_006906038.1
90132	YP_009900636.1	137	YP_009900636.1
92152	YP_009977349.1	137	YP_009977349.1
43356	YP_009125474.1	137	YP_009125474.1
109901	YP_010671445.1	137	YP_010671445.1
38716	YP_009030129.1	137	YP_009030129.1
90352	YP_009903760.1	136	YP_009903760.1
44370	YP_009147103.1	136	YP_009147103.1
96866	YP_010088469.1	136	6F45_A
33592	YP_008409124.1	136	YP_008409124.1
12808	YP_002242039.1	136	YP_002242039.1
1688	NP_044591.1	135	4UC6_A
16375	YP_004010056.1	135	YP_004010056.1
58289	YP_009303783.1	135	YP_009303783.1
83504	YP_009832287.1	135	YP_009832287.1
87697	YP_009854219.1	135	YP_009854219.1
254	3JAU_A	135	3JAU_A
104593	YP_010646234.1	134	YP_010646234.1
14320	YP_003347424.1	134	YP_003347424.1
22686	YP_006561254.1	134	YP_006561254.1
15288	YP_003892.1	134	YP_003892.1
10883	YP_001595326.1	134	YP_001595326.1
217	2ZNL_B	133	2ZNL_B
2608	NP_052103.1	133	NP_052103.1
67240	YP_009596921.1	133	YP_009596921.1
22673	YP_006561148.1	133	YP_006561148.1
48466	YP_009190393.1	133	YP_009190393.1
29561	YP_007677480.1	133	YP_007677480.1
81760	YP_009819670.1	133	4JMQ_A
2629	NP_054695.1	132	1ZTM_A
51065	YP_009214314.1	132	YP_009214314.1
75843	YP_009791857.1	132	YP_009791857.1
1056	7THH_A	132	7THH_A
68724	YP_009604365.1	132	YP_009604365.1
22970	YP_006906379.1	131	7QG9_J
114704	YP_164730.1	131	YP_164730.1
61946	YP_009362050.1	131	4BGP_A
34540	YP_008770027.1	131	YP_008770027.1
99458	YP_010111303.1	131	YP_010111303.1
16347	YP_004009757.1	131	YP_004009757.1
91503	YP_009949890.1	131	YP_009949890.1
113491	YP_010748871.1	131	YP_010748871.1
97636	YP_010095177.1	130	YP_010095177.1
22909	YP_006906201.1	130	YP_006906201.1
84721	YP_009839130.1	130	YP_009839130.1
95002	YP_010069786.1	130	YP_010069786.1
91865	YP_009958632.1	130	YP_009958632.1
95639	YP_010082263.1	130	YP_010082263.1
105797	YP_010654310.1	130	YP_010654310.1
214	2Z0A_A	130	2Z0A_A
74655	YP_009784393.1	130	YP_009784393.1
6289	NP_861804.1	130	NP_861804.1
80666	YP_009814733.1	130	YP_009814733.1
18084	YP_004327308.1	129	YP_004327308.1
24904	YP_007004141.1	129	5HY3_B
110223	YP_010672488.1	129	3VFI_A
27943	YP_007501092.1	129	YP_007501092.1
29528	YP_007677136.1	128	YP_007677136.1
85692	YP_009844287.1	128	YP_009844287.1
5568	NP_817480.1	128	NP_817480.1
106931	YP_010658756.1	128	2CFA_A
107492	YP_010660971.1	128	YP_010660971.1
17188	YP_004301114.1	128	YP_004301114.1
51277	YP_009216105.1	128	YP_009216105.1
55266	YP_009274062.1	128	YP_009274062.1
56414	YP_009280742.1	127	YP_009280742.1
29002	YP_007675167.1	127	YP_007675167.1
67205	YP_009596785.1	127	YP_009596785.1
38307	YP_009017763.1	127	YP_009017763.1
6293	NP_861843.1	126	NP_861843.1
114768	YP_182377.1	126	6LGL_j
95922	YP_010083775.1	126	6TO6_A
44368	YP_009147062.1	126	YP_009147062.1
97097	YP_010090649.1	126	YP_010090649.1
15148	YP_003815433.1	126	7YER_B
92040	YP_009965102.1	126	YP_009965102.1
97915	YP_010100121.1	126	YP_010100121.1
72237	YP_009625599.1	126	YP_009625599.1
115688	YP_239836.1	126	2P84_A
111681	YP_010678872.1	126	YP_010678872.1
18033	YP_004327094.1	125	YP_004327094.1
66187	YP_009594660.1	125	YP_009594660.1
85553	YP_009844045.1	125	YP_009844045.1
97254	YP_010092211.1	124	YP_010092211.1
73992	YP_009703258.1	124	YP_009703258.1
105345	YP_010650400.1	124	YP_010650400.1
5294	NP_775488.1	124	NP_775488.1
53455	YP_009224196.1	124	YP_009224196.1
95004	YP_010070311.1	124	YP_010070311.1
38786	YP_009031260.1	124	YP_009031260.1
90853	YP_009905346.1	124	YP_009905346.1
98319	YP_010105171.1	124	6DT7_B
1249	NP_039732.1	124	NP_039732.1
33596	YP_008409191.1	123	YP_008409191.1
89379	YP_009881995.1	123	YP_009881995.1
